TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Form ZC 6356 Latest Edition Display in Inland Marine Coverage Selection_Inland Marine_New Business_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest 03/25 edition is displayed when user selects the coverage in Inland Marine LOB,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields",Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
1,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully and proceed to line selection",,,,,,
1,,,,"3. Verify effective date is August release date","3. User should verify that the form effective date is set to August release date",,,,,,
1,,,,"4. Navigate to Inland Marine screen and select Contractors Equipment Coverage","4. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,,
1,,,,"5. Verify form ZC 6356 is listed in coverage options","5. User should verify that form ZC 6356 is available and selectable in the Contractors Equipment coverage options",,,,,,
1,,,,"6. Verify form edition date is ""03/25""","6. User should verify that the form edition date displays as ""03/25"" (March 2025 edition)",,,,,,
1,,,,"7. Verify form version information","7. User should verify that form version and edition date are properly displayed with correct metadata",,,,,,
1,,,,"8. Proceed to pricing","8. User should be able to successfully proceed to pricing screen",,,,,,
2,Manual,TC02_Verify Form ZC 6356 Auto-Attachment on Coverage Selection_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached to documents when user selects the coverage,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
2,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
2,,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine screen",,,,,,
2,,,,"4. Select Contractors Equipment Coverage","4. Inland Marine configuration screen should display coverage options",,,,,,
2,,,,"5. Select form ZC 6356 from coverage options","5. Form ZC 6356 should be automatically added to the documents section",,,,,,
2,,,,"6. Navigate to documents section","6. User should be able to view the documents section with attached forms",,,,,,
2,,,,"7. Verify that form ZC 6356 is attached with latest version","7. User should verify that the attached form is the latest 03/25 edition",,,,,,
2,,,,"8. Verify form is not old version","8. User should confirm that old form versions are not attached",,,,,,
2,,,,"9. Verify form versioning metadata","9. User should verify that form metadata displays correct version and edition date information",,,,,,
3,Manual,TC03_Verify Form ZC 6356 Latest Edition in API Payload_Inland Marine_New Business_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the API payload to the backend system,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
3,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
3,,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine screen with all required fields",,,,,,
3,,,,"4. Select Contractors Equipment Coverage","4. Coverage selection should be completed successfully",,,,,,
3,,,,"5. Select form ZC 6356 from coverage options","5. Form ZC 6356 should be selected",,,,,,
3,,,,"6. Verify the edition date in system payload is ""03/25""","6. System should send the form with edition date ""03/25"" in the API payload",,,,,,
3,,,,"7. Verify form metadata in payload","7. The payload should include correct form versioning information and metadata",,,,,,
3,,,,"8. Verify payload contains latest edition marker","8. System should include latest edition indicator in the payload sent to backend",,,,,,
4,Manual,TC04_Verify Form ZC 6356 Attachment on Policy Change Transaction_Inland Marine_Policy Change_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Policy Change transactions,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
4,,,,"2. Create a Policy Change submission with Inland Marine LOB","2. User should be able to create a policy change submission successfully",,,,,,
4,,,,"3. Select Policy Change transaction type (Inception)","3. Transaction type should be successfully selected",,,,,,
4,,,,"4. Navigate to Inland Marine screen","4. User should be able to view the Inland Marine configuration screen",,,,,,
4,,,,"5. Select Contractors Equipment Coverage","5. Coverage selection should be completed",,,,,,
4,,,,"6. Verify form ZC 6356 is auto-attached with latest 03/25 edition","6. Form ZC 6356 with 03/25 edition should be automatically attached to documents",,,,,,
4,,,,"7. Verify form versioning in documents section","7. User should confirm that the attached form has correct version and edition metadata",,,,,,
5,Manual,TC05_Verify Form ZC 6356 Attachment on Renewal Transaction_Inland Marine_Renewal_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Renewal transactions,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
5,,,,"2. Create a Renewal submission with Inland Marine LOB","2. User should be able to create a renewal submission successfully",,,,,,
5,,,,"3. Select Renewal transaction type","3. Transaction type should be successfully selected",,,,,,
5,,,,"4. Navigate to Inland Marine screen","4. User should be able to view the Inland Marine configuration screen",,,,,,
5,,,,"5. Select Contractors Equipment Coverage","5. Coverage selection should be completed",,,,,,
5,,,,"6. Verify form ZC 6356 is auto-attached with latest 03/25 edition","6. Form ZC 6356 with 03/25 edition should be automatically attached to documents",,,,,,
5,,,,"7. Verify form metadata in document section","7. User should verify correct version and edition date information",,,,,,
6,Manual,TC06_Verify Form ZC 6356 Attachment on Reinstatement Transaction_Inland Marine_Reinstatement_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Reinstatement transactions,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
6,,,,"2. Create a Reinstatement submission with Inland Marine LOB","2. User should be able to create a reinstatement submission successfully",,,,,,
6,,,,"3. Select Reinstatement transaction type","3. Transaction type should be successfully selected",,,,,,
6,,,,"4. Navigate to Inland Marine screen","4. User should be able to view the Inland Marine configuration screen",,,,,,
6,,,,"5. Select Contractors Equipment Coverage","5. Coverage selection should be completed",,,,,,
6,,,,"6. Verify form ZC 6356 is auto-attached with latest 03/25 edition","6. Form ZC 6356 with 03/25 edition should be automatically attached to documents",,,,,,
6,,,,"7. Verify form versioning information","7. User should verify that form has correct version and edition date metadata",,,,,,
7,Manual,TC07_Verify Form ZC 6356 Attachment on Rewrite Full Term Transaction_Inland Marine_Rewrite Full Term_R2,The objective of this test case is to validate that form ZC 6356 latest edition is attached for Rewrite Full Term transactions,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
7,,,,"2. Create a Rewrite Full Term submission with Inland Marine LOB","2. User should be able to create a rewrite full term submission successfully",,,,,,
7,,,,"3. Select Rewrite Full Term transaction type","3. Transaction type should be successfully selected",,,,,,
7,,,,"4. Navigate to Inland Marine screen","4. User should be able to view the Inland Marine configuration screen",,,,,,
7,,,,"5. Select Contractors Equipment Coverage","5. Coverage selection should be completed",,,,,,
7,,,,"6. Verify form ZC 6356 is auto-attached with latest 03/25 edition","6. Form ZC 6356 with 03/25 edition should be automatically attached to documents",,,,,,
7,,,,"7. Verify form version and edition date metadata","7. User should verify that attached form contains correct metadata",,,,,,
8,Manual,TC08_Verify Form ZC 6356 Payload for New Business with Pricing_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload through complete workflow including pricing,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
8,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
8,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. User should be able to select the coverage",,,,,,
8,,,,"4. Select form ZC 6356","4. Form should be selected and auto-attached",,,,,,
8,,,,"5. Fill all mandatory fields in Inland Marine screen","5. All required fields should be populated",,,,,,
8,,,,"6. Navigate to Pricing screen","6. Pricing screen should be displayed",,,,,,
8,,,,"7. Verify form ZC 6356 03/25 edition is in payload","7. System payload should contain form with 03/25 edition date",,,,,,
8,,,,"8. Complete pricing process","8. Pricing should be completed successfully",,,,,,
9,Manual,TC09_Verify Form ZC 6356 Payload for Policy Change Inception with Quote_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload for Policy Change Inception through quote generation,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
9,,,,"2. Create a Policy Change submission with Inland Marine LOB","2. User should be able to create a policy change submission successfully",,,,,,
9,,,,"3. Select Policy Change Inception transaction type","3. Transaction type should be successfully selected",,,,,,
9,,,,"4. Navigate to Inland Marine screen and select Contractors Equipment Coverage","4. User should be able to select the coverage",,,,,,
9,,,,"5. Select form ZC 6356","5. Form should be selected and auto-attached",,,,,,
9,,,,"6. Fill all mandatory fields","6. All required fields should be populated",,,,,,
9,,,,"7. Price the submission","7. Pricing should be completed successfully",,,,,,
9,,,,"8. Generate quote document","8. Quote should be generated successfully",,,,,,
9,,,,"9. Verify payload contains form ZC 6356 with 03/25 edition","9. System payload should contain form with latest edition date",,,,,,
10,Manual,TC10_Verify Form ZC 6356 Payload for Renewal with Binding_Inland Marine_Renewal_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload for Renewal through binding process,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
10,,,,"2. Create a Renewal submission with Inland Marine LOB","2. User should be able to create a renewal submission successfully",,,,,,
10,,,,"3. Select Renewal transaction type","3. Transaction type should be successfully selected",,,,,,
10,,,,"4. Navigate to Inland Marine screen and select Contractors Equipment Coverage","4. User should be able to select the coverage",,,,,,
10,,,,"5. Select form ZC 6356","5. Form should be selected and auto-attached",,,,,,
10,,,,"6. Fill all mandatory fields","6. All required fields should be populated",,,,,,
10,,,,"7. Price and quote the submission","7. Pricing and quote should be completed successfully",,,,,,
10,,,,"8. Bind the policy","8. Policy should be successfully bound",,,,,,
10,,,,"9. Verify payload sent to backend contains form 03/25 edition","9. System payload should contain form with 03/25 edition date",,,,,,
11,Manual,TC11_Verify Form ZC 6356 Replacement of Old Version_Inland Marine_New Business_R2,The objective of this test case is to validate that old version of form ZC 6356 is replaced with latest 03/25 edition when user selects the coverage,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,Medium,Positive
11,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
11,,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine configuration screen",,,,,,
11,,,,"4. Select Contractors Equipment Coverage","4. Coverage selection should be completed",,,,,,
11,,,,"5. Select form ZC 6356","5. Form should be auto-attached to documents",,,,,,
11,,,,"6. Verify attached form is not an old version","6. System should attach only the latest 03/25 edition, not older versions",,,,,,
11,,,,"7. Verify form edition date in documents","7. Attached form should display 03/25 as edition date",,,,,,
12,Manual,TC12_Verify Form ZC 6356 August Release Date Effective_Inland Marine_New Business_R3,The objective of this test case is to validate that form ZC 6356 is effective from August release date,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Effective Date,Done,Middle Market,CAMS-1863,High,Positive
12,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
12,,,,"3. Verify submission effective date is post-August release date","3. Effective date should be on or after August release date",,,,,,
12,,,,"4. Navigate to Inland Marine screen and select Contractors Equipment Coverage","4. User should be able to select the coverage",,,,,,
12,,,,"5. Select form ZC 6356","5. Form should be available and selectable",,,,,,
12,,,,"6. Verify form effective date matches August release","6. Form should show August release date as effective date",,,,,,
12,,,,"7. Verify form is applicable for the submission","7. Form should be applicable given the submission effective date",,,,,,
13,Manual,TC13_Verify Form ZC 6356 Display with Correct Metadata_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 displays with all correct metadata including edition date and version,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
13,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
13,,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine configuration screen",,,,,,
13,,,,"4. Locate Contractors Equipment form ZC 6356 in coverage options","4. Form ZC 6356 should be listed with metadata",,,,,,
13,,,,"5. Verify form code is ZC 6356","5. Form code should display as ZC 6356",,,,,,
13,,,,"6. Verify form edition date is 03/25","6. Edition date should display as 03/25 (March 2025)",,,,,,
13,,,,"7. Verify form type is Contractors Equipment","7. Form type/coverage type should be correctly labeled",,,,,,
13,,,,"8. Verify form metadata is complete","8. All form metadata should be properly populated and visible",,,,,,
14,Manual,TC14_Verify Form ZC 6356 Auto-Attachment in Document List_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 appears in the document list after selection with correct information,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
14,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
14,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","4. Coverage should be selected",,,,,,
14,,,,"4. Select form ZC 6356","5. Form should be automatically added to documents list",,,,,,
14,,,,"5. Navigate to documents section","6. Documents section should be accessible",,,,,,
14,,,,"6. Verify form ZC 6356 appears in document list","7. Form ZC 6356 should be visible in the documents list",,,,,,
14,,,,"7. Verify form code and edition in document list","8. Document list should display form code as ZC 6356 and edition as 03/25",,,,,,
14,,,,"8. Verify form can be opened from document list","9. User should be able to open/view the form from the documents section",,,,,,
15,Manual,TC15_Verify Form ZC 6356 Payload Contains All Required Metadata_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 in payload contains all required metadata fields,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
15,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
15,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
15,,,,"4. Select form ZC 6356","4. Form should be selected",,,,,,
15,,,,"5. Fill all mandatory fields and proceed to pricing","5. All fields should be populated",,,,,,
15,,,,"6. Verify payload contains form code ZC 6356","6. Payload should include form code: ZC 6356",,,,,,
15,,,,"7. Verify payload contains edition date 03/25","7. Payload should include edition date: 03/25",,,,,,
15,,,,"8. Verify payload contains form name","8. Payload should include form name: Contractors equipment form 6356",,,,,,
15,,,,"9. Verify payload contains effective date reference","9. Payload should include August release date reference",,,,,,
16,Manual,TC16_Verify Form ZC 6356 Attachment Persists Through Workflow_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 remains attached through the entire workflow from coverage selection to binding,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
16,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
16,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
16,,,,"4. Select form ZC 6356","4. Form should be auto-attached",,,,,,
16,,,,"5. Verify form appears in documents section","5. Form should appear in documents list",,,,,,
16,,,,"6. Navigate to pricing screen","6. Pricing screen should display",,,,,,
16,,,,"7. Verify form ZC 6356 is still attached in pricing","7. Form should remain attached in pricing context",,,,,,
16,,,,"8. Complete pricing and proceed to quote","8. Pricing and quote should complete successfully",,,,,,
16,,,,"9. Verify form is still present in quote document","9. Form should be included in quote generation",,,,,,
16,,,,"10. Proceed to binding","10. Binding process should be initiated",,,,,,
16,,,,"11. Verify form remains attached in binding phase","11. Form should persist in documents throughout binding phase",,,,,,
17,Manual,TC17_Verify Form ZC 6356 Latest Edition in Quote Document_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 with latest 03/25 edition is included in the generated quote document,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
17,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
17,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
17,,,,"4. Select form ZC 6356","4. Form should be auto-attached",,,,,,
17,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
17,,,,"6. Price the submission","6. Pricing should complete successfully",,,,,,
17,,,,"7. Generate quote document","7. Quote document should be generated",,,,,,
17,,,,"8. Verify form ZC 6356 is in quote document","8. Form ZC 6356 should be included in the quote",,,,,,
17,,,,"9. Verify form edition 03/25 appears in quote","9. Quote should display form edition date as 03/25",,,,,,
18,Manual,TC18_Verify Form ZC 6356 Old Version is Not Attached_Inland Marine_New Business_R2,The objective of this test case is to validate that old versions of form ZC 6356 are not attached when user selects the coverage,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
18,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
18,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
18,,,,"4. Select form ZC 6356","4. Form should be auto-attached",,,,,,
18,,,,"5. Navigate to documents section","5. Documents section should be accessible",,,,,,
18,,,,"6. Verify attached form edition is 03/25","6. Form edition should be 03/25",,,,,,
18,,,,"7. Verify form is not an old/previous version","7. Old version of ZC 6356 should not be attached",,,,,,
18,,,,"8. Confirm latest version is the only version attached","8. Only latest 03/25 edition should be present in documents",,,,,,
19,Manual,TC19_Verify Form ZC 6356 Payload for Policy Change Midterm_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 latest edition is sent in payload for Policy Change Midterm transaction,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
19,,,,"2. Create a Policy Change Midterm submission with Inland Marine LOB","2. User should be able to create a policy change midterm submission successfully",,,,,,
19,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
19,,,,"4. Select form ZC 6356","4. Form should be selected and auto-attached",,,,,,
19,,,,"5. Fill all mandatory fields","5. All required fields should be populated",,,,,,
